yago:Ashok_Kumar_Garg	Ashok Kumar Garg	Ashok Kumar Garg (born 7 July 1969) is an Indian wrestler.	<label>
yago:Ashok_Kumar_Garg	7 July 1969	Ashok Kumar Garg (born 7 July 1969) is an Indian wrestler.	<birthDate>
yago:Ashok_Kumar_Garg	Indian	Ashok Kumar Garg (born 7 July 1969) is an Indian wrestler.	no_rel
yago:Ashok_Kumar_Garg	57 kg	He competed in the men's freestyle 57 kg at the 1992 Summer Olympics.	no_rel
yago:Ashok_Kumar_Garg	1993	In 1993, he won the Arjuna Award.	no_rel
yago:Ashok_Kumar_Garg	the Arjuna Award	In 1993, he won the Arjuna Award.	no_rel
yago:Below_Utopia	Below Utopia	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<label>
yago:Below_Utopia	Body Count	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<label>
yago:Below_Utopia	1997	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<dateCreated>
yago:Below_Utopia	Kurt Voss	Below Utopia, also known as Body Count, is a 1997 independent film directed by Kurt Voss.	<director>
yago:Below_Utopia	Justin Theroux	The movie stars Justin Theroux, Alyssa Milano and Ice-T.	<actor>
yago:Below_Utopia	Alyssa Milano	The movie stars Justin Theroux, Alyssa Milano and Ice-T.	<actor>
yago:Below_Utopia	Milano	Milano was also the executive producer of the film.	no_rel
yago:Below_Utopia	Ice - T	Ice-T had composed an instrumental musical score for this film that was not used.	no_rel
yago:Below_Utopia	Below Utopia : The Lost Score	The compositions instead appeared on a CD entitled "Below Utopia: The Lost Score".	no_rel
yago:Below_Utopia	March 17 , 1998	The video release was on March 17, 1998.	no_rel
yago:Below_Utopia	October 23 , 2001	The DVD release was followed on October 23, 2001.	no_rel
yago:Below_Utopia	one	It is also one of the films on a two-pack DVD.	no_rel
yago:Below_Utopia	two	It is also one of the films on a two-pack DVD.	no_rel
yago:Below_Utopia	Out - of - Sync	The other film is Out-of-Sync.	no_rel
yago:The_Hollies	Hollies	The Hollies are a British rock group best known for their distinctive three- part vocal harmony style.	<label>
yago:The_Hollies	British	The Hollies are a British rock group best known for their distinctive three- part vocal harmony style.	no_rel
yago:The_Hollies	Hollies	The Hollies became one of the leading British groups of the 1960s and into the mid 1970s.	<label>
yago:The_Hollies	British	The Hollies became one of the leading British groups of the 1960s and into the mid 1970s.	no_rel
yago:The_Hollies	the 1960s	The Hollies became one of the leading British groups of the 1960s and into the mid 1970s.	no_rel
yago:The_Hollies	the mid 1970s	The Hollies became one of the leading British groups of the 1960s and into the mid 1970s.	no_rel
yago:The_Hollies	Allan Clarke	The band was formed by Allan Clarke and Graham Nash in 1962 as a Merseybeat-type music group in Manchester, although some of the band members came from towns further north in East Lancashire.	no_rel
